时间,门店代码,门店名称,省,市,区,门店类型,门店级别,门店状态,开店日期,二级渠道,门店面积,客流量,客单价,转化率,GMV,grade,二级渠道Type,门店级别Type,门店类型Type,Date,year,month,销售时长,修正转化率,开店时长,binned_data
2023年1月,JM20060,小米之家广东深圳宝安区卓悦时光专卖店,广东,深圳市,宝安区,专卖店,体验店-B1,营业中,2022/7/28,米家专卖店,138,5025,901.89,6.83,309310.15,B,2,8,2,2023/1/1,2023,1,1.24,6.83,1.67,Low
2023年10月,JM20060,小米之家广东深圳宝安区卓悦时光专卖店,广东,深圳市,宝安区,专卖店,体验店-B1,营业中,2022/7/28,米家专卖店,138,5679,1083.72,7.54,450434.56,B,2,8,2,2023/10/1,2023,10,0.5,7.54,1.67,Low
2023年2月,JM20060,小米之家广东深圳宝安区卓悦时光专卖店,广东,深圳市,宝安区,专卖店,体验店-B1,营业中,2022/7/28,米家专卖店,138,5403,827.81,6.55,289576.87,B,2,8,2,2023/2/1,2023,2,1.16,6.55,1.67,Low
2023年4月,JM20060,小米之家广东深圳宝安区卓悦时光专卖店,广东,深圳市,宝安区,专卖店,体验店-B1,营业中,2022/7/28,米家专卖店,138,6968,1009.86,5.42,367483.7,B,2,8,2,2023/4/1,2023,4,1,5.42,1.67,Low
2023年9月,JM20060,小米之家广东深圳宝安区卓悦时光专卖店,广东,深圳市,宝安区,专卖店,体验店-B1,营业中,2022/7/28,米家专卖店,138,6281,1221.27,7.15,498596.86,B,2,8,2,2023/9/1,2023,9,0.58,7.15,1.67,Low
2023年6月,JM20060,小米之家广东深圳宝安区卓悦时光专卖店,广东,深圳市,宝安区,专卖店,体验店-B1,营业中,2022/7/28,米家专卖店,138,7111,1302.94,6.54,602351.52,B,2,8,2,2023/6/1,2023,6,0.83,6.54,1.67,Low
2023年12月,JM20060,小米之家广东深圳宝安区卓悦时光专卖店,广东,深圳市,宝安区,专卖店,体验店-B1,营业中,2022/7/28,米家专卖店,138,6548,1340.34,5.62,456305.86,B,2,8,2,2023/12/1,2023,12,0.33,5.62,1.67,Low
2023年12月,JM72265,小米之家广东广州天河区利丰天地广场专卖店,广东,广州市,天河区,专卖店,体验店-B1,营业中,2024/1/1,米家专卖店,90,4005,595.7,17.05,385933.68,B,2,8,2,2023/12/1,2023,12,0.33,17.05,0.24,Low
2023年8月,JM20137,小米之家广东广州白云区亿达广场专卖店,广东,广州市,白云区,专卖店,体验店-B1,营业中,2021/5/9,米家专卖店,94,15017,1378.69,3.38,793657.04,B,2,8,2,2023/8/1,2023,8,0.66,3.38,2.89,Low
2023年3月,JM20137,小米之家广东广州白云区亿达广场专卖店,广东,广州市,白云区,专卖店,体验店-B1,营业中,2021/5/9,米家专卖店,94,8574,1566.85,5.27,710475.66,B,2,8,2,2023/3/1,2023,3,1.08,5.27,2.89,Low
2023年5月,JM20137,小米之家广东广州白云区亿达广场专卖店,广东,广州市,白云区,专卖店,体验店-B1,营业中,2021/5/9,米家专卖店,94,11934,1557.9,4,755989.83,B,2,8,2,2023/5/1,2023,5,0.92,4,2.89,Low
2024年3月,JM72265,小米之家广东广州天河区利丰天地广场专卖店,广东,广州市,天河区,专卖店,体验店-B1,营业中,2024/1/1,米家专卖店,90,4701,886.2,15.23,644535.42,B,2,8,2,2024/3/1,2024,3,0.08,15.23,0.24,Low
2024年2月,JM20137,小米之家广东广州白云区亿达广场专卖店,广东,广州市,白云区,专卖店,体验店-B1,营业中,2021/5/9,米家专卖店,94,10159,1934.41,5.65,1230085.58,B,2,8,2,2024/2/1,2024,2,0.16,5.65,2.89,Low
2023年6月,JM20137,小米之家广东广州白云区亿达广场专卖店,广东,广州市,白云区,专卖店,体验店-B1,营业中,2021/5/9,米家专卖店,94,13847,1831.83,3.72,1197305.6,B,2,8,2,2023/6/1,2023,6,0.83,3.72,2.89,Low
2024年1月,JM20137,小米之家广东广州白云区亿达广场专卖店,广东,广州市,白云区,专卖店,体验店-B1,营业中,2021/5/9,米家专卖店,94,12362,2353.72,4.23,1314491.83,B,2,8,2,2024/1/1,2024,1,0.24,4.23,2.89,Low
2023年2月,JM20137,小米之家广东广州白云区亿达广场专卖店,广东,广州市,白云区,专卖店,体验店-B1,营业中,2021/5/9,米家专卖店,94,6429,1672.66,8.66,1232455.92,B,2,8,2,2023/2/1,2023,2,1.16,8.66,2.89,Low
2024年3月,JM73518,小米之家广东广州从化区城南路青云电信厅专卖店,广东,广州市,从化区,专卖店,体验店-B2,营业中,2024/3/26,米家专卖店,100,0,1089.86,0,8708.89,B,2,9,2,2024/3/1,2024,3,0.08,0,0.01,Low
2024年2月,JM20934,小米之家广东茂名茂南区华侨城购物广场专卖店,广东,茂名市,茂南区,专卖店,体验店-B1,营业中,2024/3/7,米家专卖店,150,2137,1216.56,12.49,324664.31,B,2,8,2,2024/2/1,2024,2,0.16,12.49,0.06,Low
2023年4月,JM19704,小米之家广东湛江雷州市世贸广场专卖店,广东,湛江市,雷州市,专卖店,体验店-B1,营业中,2022/7/15,米家专卖店,114.7,911,1460.08,28.76,370886.87,B,2,8,2,2023/4/1,2023,4,1,20,1.71,Low
2023年8月,JM19704,小米之家广东湛江雷州市世贸广场专卖店,广东,湛江市,雷州市,专卖店,体验店-B1,营业中,2022/7/15,米家专卖店,114.7,1904,1173.08,12.92,279270.62,B,2,8,2,2023/8/1,2023,8,0.66,12.92,1.71,Low
2023年3月,JM19704,小米之家广东湛江雷州市世贸广场专卖店,广东,湛江市,雷州市,专卖店,体验店-B1,营业中,2022/7/15,米家专卖店,114.7,653,1384.56,30.93,278262.24,B,2,8,2,2023/3/1,2023,3,1.08,20,1.71,Low
2023年12月,JM19704,小米之家广东湛江雷州市世贸广场专卖店,广东,湛江市,雷州市,专卖店,体验店-B1,营业中,2022/7/15,米家专卖店,114.7,1821,1591.43,9.83,273145.88,B,2,8,2,2023/12/1,2023,12,0.33,9.83,1.71,Low
2023年9月,JM19704,小米之家广东湛江雷州市世贸广场专卖店,广东,湛江市,雷州市,专卖店,体验店-B1,营业中,2022/7/15,米家专卖店,114.7,1717,930.3,14.56,221867.06,B,2,8,2,2023/9/1,2023,9,0.58,14.56,1.71,Low
2023年1月,JM19704,小米之家广东湛江雷州市世贸广场专卖店,广东,湛江市,雷州市,专卖店,体验店-B1,营业中,2022/7/15,米家专卖店,114.7,1710,1170.02,28.54,563625.47,B,2,8,2,2023/1/1,2023,1,1.24,20,1.71,Low
2024年1月,JM19704,小米之家广东湛江雷州市世贸广场专卖店,广东,湛江市,雷州市,专卖店,体验店-B1,营业中,2022/7/15,米家专卖店,114.7,1962,1392.28,9.58,251884.54,B,2,8,2,2024/1/1,2024,1,0.24,9.58,1.71,Low
